,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
127,3,799380.0,29669,37.7,95.5,14806,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,137,137,3352.0,5295.0,-1943.0,-5833.0,2.9,32.2,3.3,5.4,24.0,67.3,7.0,0.1,6.5,39.6,74.2,9.0,309,48.5,0.3,779,20,80.6,12.54,82.2,75.6,58.1,54.0,44.8,4.8,101.2,110.4,31.1,33.8,5.4,7.4,42.4,10.1
128,14,676577.0,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673.0,15696.0,-4023.0,-3921.0,0.9,34.1,2.5,2.3,1392.1,45.0,2.3,0.6,-99.0,10.2,76.7,21.8,321,45.3,0.4,1078,15,92.7,2.23,74.7,80.8,68.3,63.7,26.8,9.4,98.3,101.0,52.0,50.6,14.9,12.1,84.3,77.1
129,16,824116.0,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816.0,6721.0,-1905.0,-1700.0,2.2,46.7,4.2,3.6,4.8,36.4,-99.0,0.0,0.0,41.3,102.1,22.3,115,8.5,1.6,19,31,98.2,1.24,56.4,64.3,64.3,59.1,36.7,5.5,109.5,113.3,0.0,0.0,0.0,0.0,54.5,16.8
130,7,21.0,11,568.0,101.9,189,18.7,18469.2,3.0,59.9,37.1,-99.0,-99.0,-99.0,23.0,112,112,-99.0,-99.0,-99.0,-99.0,2.3,100.0,0.2,3.9,0.8,18.0,3.3,0.0,-99.0,10.5,67.8,54.0,82,0.0,4.8,0,63,96.5,-99.0,49.3,78.9,64.8,57.8,39.5,4.0,100.4,109.5,83.4,81.9,-99.0,0.0,65.6,0.0
131,17,147181.0,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,139,139,703.0,5249.0,-4547.0,2447.0,1.2,18.6,3.2,2.3,30.7,32.8,5.8,0.0,3.7,29.6,96.8,17.6,104,25.4,0.3,451,19,90.9,5.73,79.7,86.7,70.4,67.4,30.9,8.8,141.2,130.7,72.2,67.1,15.1,14.8,56.0,43.5
132,21,41542.0,17036,505.2,99.0,750318,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,115,115,511714.0,420969.0,90745.0,65129.0,0.3,90.5,1.0,1.7,116.3,3.5,10.9,3.4,5.5,38.0,123.5,93.1,40,11.1,9.9,2447,178,100.0,-99.0,57.3,69.7,83.1,79.4,16.4,25.0,104.4,105.0,136.3,134.7,82.5,74.7,97.5,99.9
133,6,18575.0,276,15.1,101.5,8937,3.2,33965.7,1.4,26.0,72.6,3.0,26.9,70.1,15.1,102,103,1344.0,2422.0,-1079.0,-1469.0,1.4,70.2,2.2,2.2,-99.0,13.0,-99.0,-99.0,-99.0,-99.0,93.5,74.0,526,45.9,16.5,1,215,98.5,-99.0,45.5,66.9,79.3,73.7,22.5,14.2,-99.0,0.0,-99.0,0.0,-99.0,0.0,100.0,100.0
134,12,268107.0,4706,17.9,96.7,173417,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,116,118,33833.0,36423.0,-2589.0,-5501.0,1.1,86.3,1.0,2.0,1.7,4.4,11.0,2.9,6.4,34.2,121.8,88.2,199,38.6,7.7,783,207,100.0,-99.0,62.1,72.8,83.1,79.5,19.8,20.8,99.1,99.6,119.9,113.4,96.7,71.6,-99.0,0.0
135,1,130373.0,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225.0,5927.0,-3701.0,-1045.0,1.2,58.8,2.0,2.3,0.6,20.0,9.0,0.9,0.0,45.7,116.1,19.7,144,25.9,0.8,91,26,99.3,3.68,49.6,80.6,77.5,71.4,29.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,76.5,55.7
136,19,1267000.0,21477,17.0,100.6,7143,3.6,359.0,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927.0,1861.0,-933.0,-1150.0,3.8,18.7,5.1,7.4,312.5,65.8,6.0,0.0,6.7,17.0,46.5,2.2,34,0.9,0.1,101,5,100.0,12.26,40.4,89.2,59.5,57.6,50.2,4.2,66.8,77.9,17.2,24.2,0.9,2.6,37.9,4.6
